aqi,city,co,date,level,no2,o3_8h,pm10,pm25,so2
30,北京,0.4,2013-12-26,优,21,59,20,10,9
23,北京,0.6,2013-12-27,优,34,40,21,16,19
31,北京,0.3,2013-12-28,优,21,61,18,11,11
78,北京,1.7,2013-12-29,良,76,30,87,58,48
67,北京,1.1,2013-12-30,良,53,59,84,43,28
99,北京,1.2,2013-12-31,良,49,63,148,50,23
aqi,city,co,date,level,no2,o3_8h,pm10,pm25,so2
137,北京,0.9,2014-04-01,轻度污染,60,125,117,104,17
54,北京,0.8,2014-03-01,良,48,70,57,38,23
179,北京,2,2014-02-01,中度污染,57,12,146,135,52
81,北京,1.5,2014-01-01,良,62,52,111,45,28
130,北京,1,2014-04-02,轻度污染,58,135,159,99,21
65,北京,0.5,2014-04-03,良,36,93,80,23,6
91,北京,0.6,2014-04-04,良,40,100,132,32,8
65,北京,0.4,2014-04-05,良,29,100,80,22,6
96,北京,0.7,2014-04-06,良,58,109,143,53,12
178,北京,2.6,2014-03-02,中度污染,93,40,165,135,60
268,北京,4.2,2014-03-03,重度污染,102,18,248,218,96
77,北京,1.3,2014-03-04,良,40,74,78,57,27
35,北京,0.8,2014-03-05,优,35,66,35,20,16
39,北京,0.6,2014-03-06,优,29,77,28,16,14
89,北京,1.2,2014-02-02,良,31,73,97,66,19
37,北京,0.3,2014-02-03,优,8,73,32,5,5
40,北京,0.6,2014-02-04,优,21,68,40,27,19
145,北京,3.4,2014-01-02,轻度污染,93,14,168,111,69
74,北京,1.3,2014-01-03,良,52,56,98,47,29
149,北京,2.8,2014-01-04,轻度污染,75,14,147,114,40
119,北京,2.3,2014-01-05,轻度污染,67,44,117,91,36
182,北京,2.4,2014-01-06,中度污染,68,12,158,138,46
128,北京,0.8,2014-04-07,轻度污染,62,144,176,97,20
224,北京,1.5,2014-04-08,重度污染,82,184,237,174,38
159,北京,0.9,2014-04-09,中度污染,50,145,239,121,19
251,北京,1.3,2014-04-10,重度污染,52,94,386,87,27
81,北京,1,2014-04-11,良,60,94,112,60,17
66,北京,1.1,2014-03-07,良,53,65,72,48,26
172,北京,2.3,2014-03-08,中度污染,92,38,166,131,68
124,北京,1.6,2014-03-09,轻度污染,68,72,118,94,45
107,北京,1.7,2014-03-10,轻度污染,72,45,101,81,53
142,北京,2.6,2013-12-02,轻度污染,88,11,138,109,61
117,北京,1.6,2014-02-05,轻度污染,49,42,102,88,53
157,北京,2,2014-02-06,中度污染,64,39,130,120,66
133,北京,1.6,2014-02-07,轻度污染,59,30,67,102,33
90,北京,1.2,2014-02-08,良,36,66,40,67,23
33,北京,0.5,2014-02-09,优,18,65,16,9,16
145,北京,2,2014-01-07,轻度污染,60,43,125,111,34
27,北京,0.5,2014-01-08,优,21,53,25,15,13
131,北京,1.4,2014-04-12,轻度污染,75,136,136,100,25
207,北京,1.3,2014-04-13,重度污染,71,194,190,157,25
279,北京,1.9,2014-04-14,重度污染,79,188,263,229,33
120,北京,1,2014-04-15,轻度污染,61,130,142,91,16
82,北京,0.7,2014-04-16,良,68,80,113,51,12
205,北京,2.4,2014-03-11,重度污染,80,68,196,155,76
41,北京,0.4,2014-03-12,优,26,82,23,11,9
62,北京,0.6,2014-03-13,良,37,77,75,20,14
64,北京,0.5,2014-03-14,良,31,86,79,21,13
86,北京,1.6,2013-12-03,良,54,45,86,64,38
109,北京,2,2013-12-04,轻度污染,62,23,101,82,42
56,北京,1.2,2013-12-05,良,38,52,56,39,30
169,北京,2.5,2013-12-06,中度污染,78,15,162,128,48
291,北京,4.2,2013-12-07,重度污染,98,6,285,241,64
35,北京,0.7,2014-02-10,优,38,55,28,24,26
129,北京,2.1,2014-02-11,轻度污染,77,37,111,98,58
146,北京,2.2,2014-02-12,轻度污染,77,47,116,111,53
46,北京,0.8,2014-01-09,优,35,53,46,27,19
85,北京,1.9,2014-01-10,良,71,19,94,63,53
139,北京,2.8,2014-01-11,轻度污染,90,11,128,106,76
47,北京,0.7,2014-01-12,优,39,59,47,27,27
109,北京,2.3,2014-01-13,轻度污染,78,20,107,82,67
120,北京,1.4,2014-04-17,轻度污染,71,101,124,91,19
183,北京,1.5,2014-04-18,中度污染,65,115,124,138,17
83,北京,0.8,2014-04-19,良,65,87,84,61,15
81,北京,0.6,2014-04-20,良,54,99,80,60,7
67,北京,0.6,2014-04-21,良,56,107,79,48,7
124,北京,1.5,2014-03-15,轻度污染,89,61,173,94,43
148,北京,2.1,2014-03-16,轻度污染,72,97,198,113,76
145,北京,1.2,2014-03-17,轻度污染,50,82,241,83,27
87,北京,0.6,2014-03-18,良,36,91,124,37,17
223,北京,2.9,2013-12-08,重度污染,60,41,189,173,47
26,北京,0.6,2013-12-09,优,22,51,16,11,10
45,北京,1,2013-12-10,优,29,52,45,21,14
30,北京,0.7,2013-12-11,优,30,45,30,19,15
29,北京,0.8,2013-12-12,优,25,56,29,16,11
238,北京,2.8,2014-02-13,重度污染,84,24,173,188,73
315,北京,3.1,2014-02-14,严重污染,95,27,295,265,73
428,北京,3.8,2014-02-15,严重污染,110,25,449,393,100
346,北京,3.2,2014-02-16,严重污染,88,60,204,296,79
138,北京,2.1,2014-02-17,轻度污染,72,56,52,105,67
95,北京,1.1,2014-02-18,良,61,44,84,71,38
108,北京,2.4,2014-01-14,轻度污染,74,24,108,82,68
125,北京,2.7,2014-01-15,轻度污染,84,18,117,95,66
402,北京,4.6,2014-01-16,严重污染,123,20,384,353,109
86,北京,0.6,2014-04-22,良,54,143,101,58,9
151,北京,0.9,2014-04-23,中度污染,41,145,147,116,21
151,北京,0.9,2014-04-24,中度污染,47,140,133,115,19
171,北京,1,2014-04-25,中度污染,69,153,190,129,20
66,北京,0.4,2014-04-26,良,28,86,82,37,4
72,北京,0.8,2014-03-19,良,46,78,93,46,17
44,北京,0.4,2014-03-20,优,23,87,27,10,5
57,北京,0.6,2014-03-21,良,43,92,64,25,11
82,北京,0.8,2014-03-22,良,53,96,115,47,16
177,北京,1.6,2014-03-23,中度污染,69,146,183,134,44
270,北京,2,2014-03-24,重度污染,93,115,249,220,53
66,北京,1.3,2013-12-13,良,45,29,63,48,29
56,北京,1.2,2013-12-14,良,41,46,48,40,29
64,北京,1.5,2013-12-15,良,49,31,55,46,31
134,北京,2.5,2013-12-16,轻度污染,70,10,126,102,59
80,北京,1.4,2013-12-17,良,39,42,41,59,35
87,北京,1.2,2014-02-19,良,60,64,72,64,34
214,北京,2.2,2014-02-20,重度污染,79,30,175,164,45
309,北京,2.7,2014-02-21,严重污染,101,26,284,259,78
313,北京,3.4,2014-02-22,严重污染,102,18,300,263,102
261,北京,3.6,2014-02-23,重度污染,92,14,246,211,130
310,北京,4.7,2014-02-24,严重污染,119,19,327,260,133
215,北京,2.4,2014-01-17,重度污染,76,30,194,165,67
99,北京,1.5,2014-01-18,良,61,36,81,74,42
151,北京,2.5,2014-01-19,中度污染,72,41,186,115,71
35,北京,0.3,2014-01-20,优,15,65,35,8,6
26,北京,0.7,2014-01-21,优,34,50,25,18,27
73,北京,0.6,2014-04-27,良,48,127,93,51,6
84,北京,0.7,2014-04-28,良,49,141,98,61,8
118,北京,0.9,2014-04-29,轻度污染,68,175,143,89,17
250,北京,1.6,2014-03-25,重度污染,92,159,237,200,43
319,北京,2,2014-03-26,严重污染,111,137,318,269,43
299,北京,2.4,2014-03-27,重度污染,107,86,300,249,34
168,北京,1.7,2014-03-28,中度污染,66,90,171,128,25
63,北京,0.6,2014-03-29,良,37,95,76,39,7
64,北京,0.5,2014-03-30,良,58,92,78,31,8
45,北京,0.9,2013-12-18,优,32,43,45,29,22
63,北京,1.2,2013-12-19,良,50,35,60,45,30
45,北京,1.1,2013-12-20,优,46,47,45,30,28
82,北京,1.6,2013-12-21,良,69,30,81,61,43
403,北京,5.2,2014-02-25,严重污染,122,13,389,354,78
366,北京,3.7,2014-02-26,严重污染,106,18,250,316,81
35,北京,0.5,2014-02-27,优,25,70,24,16,13
103,北京,1.5,2014-02-28,轻度污染,71,47,102,78,33
150,北京,2.2,2014-01-22,轻度污染,93,16,138,115,75
271,北京,4,2014-01-23,重度污染,125,8,263,221,118
197,北京,2.8,2014-01-24,中度污染,92,23,168,148,79
136,北京,1,2014-04-30,轻度污染,67,200,158,103,19
176,北京,1.8,2014-03-31,中度污染,81,89,183,133,35
179,北京,2.8,2013-12-22,中度污染,95,14,178,135,67
166,北京,2.9,2013-12-23,中度污染,90,30,166,126,62
269,北京,4.8,2013-12-24,重度污染,123,10,268,219,94
219,北京,3.3,2013-12-25,重度污染,94,54,219,169,65
30,北京,0.4,2013-12-26,优,21,59,20,10,9
23,北京,0.6,2013-12-27,优,34,40,21,16,19
42,北京,1,2014-01-25,优,42,61,42,24,24
72,北京,1,2014-01-26,良,47,44,81,53,45
118,北京,1.8,2014-01-27,轻度污染,60,56,120,89,57
62,北京,0.9,2014-01-28,良,38,56,75,40,28
31,北京,0.3,2013-12-28,优,21,61,18,11,11
78,北京,1.7,2013-12-29,良,76,30,87,58,48
67,北京,1.1,2013-12-30,良,53,59,84,43,28
99,北京,1.2,2013-12-31,良,49,63,148,50,23
155,北京,2.3,2014-01-29,中度污染,75,32,141,118,71
96,北京,1.2,2014-01-30,良,46,68,97,72,39
190,北京,1.4,2014-01-31,中度污染,48,38,182,143,63
